City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,eyl,7.9803,49.8164,299.72,79,8,8.16,SO,1696190730
149,pawlowice,49.9613,18.7178,289.69,95,93,1.81,PL,1696190730
150,kirakira,-10.4544,161.9205,299.27,86,97,4.81,SB,1696190730
151,chimbote,-9.0853,-78.5783,294.71,74,29,5.0,PE,1696190671
152,aguadilla,18.4275,-67.1541,305.73,81,0,6.17,PR,1696190731
153,horodnytsya,50.807,27.3168,287.69,55,100,2.47,UA,1696190731
154,kolonia town,6.964,158.206,297.15,100,40,1.03,FM,1696190731
155,keyser,39.4409,-78.9739,300.51,52,0,1.79,US,1696190731
156,urumqi,43.801,87.6005,283.68,82,0,3.0,CN,1696190731
157,sidi akkacha,36.4647,1.3026,302.31,64,0,3.15,DZ,1696190731
158,carnarvon,-24.8667,113.6333,293.02,61,100,7.21,AU,1696190731
159,usinsk,65.9939,57.5281,284.86,91,100,8.49,RU,1696190732
160,portland,45.5234,-122.6762,294.03,60,20,2.06,US,1696190732
161,island harbour,50.724,-1.2758,291.57,91,100,0.89,GB,1696190732
162,cacheu,12.2706,-16.1658,304.2,84,100,2.83,GW,1696190732
163,ikryanoye,46.0932,47.7308,285.92,82,0,3.37,RU,1696190732
164,lerwick,60.1545,-1.1494,286.15,90,0,6.63,GB,1696190732
165,cabo san lucas,22.8909,-109.9124,308.49,54,0,7.6,MX,1696190507
166,tshabong,-26.05,22.45,295.76,25,0,3.52,BW,1696190733
167,bilibino,68.0546,166.4372,268.68,87,100,0.48,RU,1696190733
168,belmonte,-15.8631,-38.8828,297.53,73,6,3.77,BR,1696190733
169,chonchi,-42.6128,-73.8092,280.99,97,100,0.46,CL,1696190733
170,mufumbwe,-13.6833,24.8,298.81,34,95,1.91,ZM,1696190733
171,atafu village,-8.5421,-172.5159,301.4,70,20,0.9,TK,1696190734
172,yorkton,51.2167,-102.4677,285.06,94,100,5.14,CA,1696190734
173,holualoa,19.6228,-155.9522,300.85,74,40,4.63,US,1696190734
174,ust-nera,64.5667,143.2,271.05,62,24,3.13,RU,1696190734
175,trani,41.2727,16.4154,296.4,60,0,4.73,IT,1696190734
176,juneau,58.3019,-134.4197,282.27,95,100,8.75,US,1696190734
177,hermanus,-34.4187,19.2345,285.87,79,0,4.36,ZA,1696190734
178,inverloch,-38.6333,145.7167,280.41,88,4,3.35,AU,1696190735
179,naracoorte,-36.9579,140.7383,278.76,88,0,3.64,AU,1696190735
180,lebu,-37.6167,-73.65,285.41,69,100,4.23,CL,1696190735
181,tarko-sale,64.9225,77.785,275.37,100,100,3.58,RU,1696190735
182,alesund,62.4723,6.1549,286.9,87,75,4.12,NO,1696190735
183,sao jose da coroa grande,-8.8978,-35.1478,297.95,73,4,3.78,BR,1696190735
184,kupang,-10.1667,123.5833,298.47,73,84,2.06,ID,1696190476
185,villa gesell,-37.2639,-56.973,284.29,74,4,4.05,AR,1696190736
186,lompoc,34.6391,-120.4579,297.05,67,20,3.6,US,1696190736
187,rongelap,11.1635,166.8941,301.61,78,87,6.18,MH,1696190736
188,agapovka,53.2973,59.1348,284.67,82,77,1.45,RU,1696190736
189,kiruna,67.8557,20.2251,274.66,93,75,2.06,SE,1696190736
190,mersing,2.4312,103.8405,297.1,94,20,3.09,MY,1696190736
191,tadine,-21.55,167.8833,294.47,61,93,8.2,NC,1696190736
192,encheng,22.1839,112.3026,298.27,90,16,0.24,CN,1696190736
193,souillac,-20.5167,57.5167,296.36,88,75,4.12,MU,1696190737
194,camana,-16.6228,-72.7111,293.41,77,56,3.48,PE,1696190737
195,pyt-yakh,60.7499,72.8582,281.29,89,100,4.86,RU,1696190737
196,tralee,52.2704,-9.7026,284.65,92,100,2.61,IE,1696190737
197,kapuskasing,49.4169,-82.4331,293.15,68,75,5.14,CA,1696190737
198,malpe,13.35,74.7167,298.76,86,100,0.39,IN,1696190737
199,saint-leu,-21.15,55.2833,294.63,83,2,1.0,RE,1696190737
200,lazaro cardenas,17.9583,-102.2,304.47,69,8,3.83,MX,1696190737
201,noyabrsk,63.1994,75.4507,279.39,93,100,5.81,RU,1696190738
202,huatabampo,26.8333,-109.6333,310.55,55,14,5.67,MX,1696190738
203,vadso,70.0744,29.7487,278.64,81,75,7.2,NO,1696190738
204,tura,25.5198,90.2201,296.65,97,100,2.02,IN,1696190738
205,myitkyina,25.3833,97.4,296.82,100,97,0.54,MM,1696190738
206,grand falls-windsor,48.9332,-55.6649,292.87,61,13,5.19,CA,1696190738
207,mermoz boabab,14.7065,-17.4758,302.03,84,40,2.06,SN,1696190738
208,nouadhibou,20.931,-17.0347,298.14,65,54,6.69,MR,1696190738
209,lae,-6.7221,146.9847,297.15,90,72,2.49,PG,1696190738
210,codrington,-38.2667,141.9667,277.94,91,1,3.28,AU,1696190739
211,ayutla,20.1167,-104.3333,301.02,52,8,1.75,MX,1696190739
